receiver,projectName,activationDatetime,deployDateTime,validDataUntilDatetime,recoverDateTime,stationName,dropDeadDate,idPk,downloadDateTime,deployLat,deployLong,comments,receiverStatus,mooringType,amplifierSensitivity,hydrophoneSensitivity,recordingName,hydrophoneCableLength,sampleRate,acousticreleasenumber
POD-407,WinMon.be_CPOD,2013-04-23,2013-04-23,2013-07-02,,GB,,3512,,51.4492166667,2.8787166667,,Active,,,,,,,
POD-3401,Lifewatch,2020-09-21,2020-09-30,2021-03-09,2021-03-09,bpns-Birkenfels,,9941,,51.64816667,2.535833,,Available,bottom-mooring,,,,,,"VR2AR-547694 - 29-09-2020 09:09"
POD-3331,Lifewatch,2022-06-02,2022-06-02,2022-08-19,2022-08-19,bpns-Grafton,,26456,,51.40667,2.819,,Available,bottom-mooring,,,,,,"VR2AR-547690 - 01-06-2022 10:06"
"B&K NEXUS-1",PhD_Parcerisas,2020-06-01,2020-06-01,,2020-06-01,"bpns-Nautica Ena",,9853,2020-06-01,51.302016,2.877948,"2 weights on rope didnt hold the hydrophone vertical in the water, so hydrophone measured the surface sounds.",Available,surface-buoy,"3.16 mV",-170,"\\qarchive\data_sensors\b&k\COVID-19\20200608_SailingTrip\Nautica Ena_3.16",1,192,
"B&K NEXUS-1",PhD_Parcerisas,2020-05-08,2020-05-08,,2020-05-08,bpns-Loreley,,9821,2020-05-08,51.297942,2.911936,"File 842: min 5:50 ref signal.",Available,surface-buoy,"3.16 mV",-170,"\\qarchive\data_sensors\b&k\COVID-19\20200508_Simon Stevin\Loreley_3.16",4.5,192,
POD-409,WinMon.be_CPOD,2013-01-23,2013-01-23,2013-03-28,2013-03-28,CPN,,3528,,51.5903333333,3.0050833333,,Available,,,,,,,
POD-408,WinMon.be_CPOD,2014-11-05,2014-11-05,2015-02-17,,bpns-Gootebank,,3408,,51.4481,2.8765,,Active,surface-buoy,,,,,,
POD-3401,Lifewatch,2022-03-15,2022-03-25,2022-08-05,2022-08-05,bpns-Westhinder,,25704,,51.380817,2.452667,"Aquaflight deployment, tripod",Available,bottom-mooring,,,,,,"VR2AR-547654 - 25-03-2022 10:03"
"SOUNDTRAP STHF300-67416073",Apelafico_acoustics,2023-06-27,2023-06-27,,,bpns-APCpower2,,59059,,51.57488,2.987042,"apelafico mooring",Active,bottom-mooring,,,,,,"VR2AR-550755 - 27-06-2023 12:06"
POD-2729,Lifewatch,2020-06-15,2020-06-17,2020-12-21,2021-03-09,bpns-Birkenfels,,9289,,51.648167,2.535833,"acoustic release: new battery VR2AR-546893",Available,bottom-mooring,,,,,,"VR2AR-546893 - 17-06-2020 08:06"
POD-3331,Lifewatch,2022-10-14,2022-10-17,2023-03-16,,bpns-Birkenfels,,29098,,51.6483,2.5361833,,Available,bottom-mooring,,,,,,"VR2AR-547654 - 17-10-2022 09:10"
POD-2729,Lifewatch,2021-03-09,2021-03-09,2021-09-15,2021-09-15,bpns-Faulbaums,,12120,,51.3345,2.615,,Available,bottom-mooring,,,,,,"VR2AR-547654 - 09-03-2021 05:03"
"B&K NEXUS-1",PhD_Parcerisas,2021-06-09,2021-06-09,,,bpns-VG,,12647,,51.389929,2.769902,"No big boats close by 
The drifting is not a straight line but a curve 
Change of amplitude due to overload

Simultaneously recording with 12675",Available,surface-buoy,"10 mV",-160,"\\qarchive\data_sensors\b&k\COVID-19\20210609_SailingTrip\VG2_10",4.5,96,
POD-2724,Lifewatch,2017-06-16,2017-06-20,,2018-01-12,bpns-WK16,,2687,,51.3075,2.909833333,"no data",Active,surface-buoy,,,,,,
