manufacturer,modelNumber,serialNumber,status,ownerOrganization,receiver,idPk
CHELONIA,POD,2726,Lost,VLIZ,POD-2726,1344
B&K,"B&K NEXUS",1,Available,VLIZ,"B&K NEXUS-1",3406
OCEANINSTRUMENTS,"SOUNDTRAP HF600",6714,Available,VLIZ_MOC,"SOUNDTRAP HF600-6714",4830
CHELONIA,POD,2053,Available,ODNATUUR,POD-2053,1658
CHELONIA,POD,3416,Available,VLIZ,POD-3416,2741
CHELONIA,POD,3423,Available,ODNATUUR,POD-3423,2828
CHELONIA,POD,2725,Lost,VLIZ,POD-2725,1334
OCEANINSTRUMENTS,"SOUNDTRAP ST600HF",7535,Active,VLIZ,"SOUNDTRAP ST600HF-7535",23113
CHELONIA,POD,3330,Active,VLIZ,POD-3330,1806
CHELONIA,POD,3400,Available,VLIZ,POD-3400,2332
CHELONIA,POD,3155,Available,ODNATUUR,POD-3155,1809
CHELONIA,POD,1611,Active,ODNATUUR,POD-1611,1655
CHELONIA,POD,407,Active,ODNATUUR,POD-407,1653
CHELONIA,POD,3329,Available,VLIZ,POD-3329,1807
CHELONIA,POD,2723,Lost,VLIZ,POD-2723,1345
OCEANINSTRUMENTS,"SOUNDTRAP STHF300",67416073,Active,VLIZ,"SOUNDTRAP STHF300-67416073",3295
OCEANINSTRUMENTS,"SOUNDTRAP HF600",7564,Active,VLIZ,"SOUNDTRAP HF600-7564",22959
CHELONIA,POD,2955,Available,ODNATUUR,POD-2955,1652
CHELONIA,POD,7598,Active,VLIZ,POD-7598,23037
CHELONIA,POD,2421,Available,VLIZ,POD-2421,1336
CHELONIA,POD,2724,Active,VLIZ,POD-2724,1341
CHELONIA,POD,2054,Active,ODNATUUR,POD-2054,1660
CHELONIA,POD,409,Available,ODNATUUR,POD-409,1351
CHELONIA,POD,1878,Available,WMR,POD-1878,4143
CHELONIA,POD,2978,Available,VLIZ,POD-2978,1350
CHELONIA,POD,2422,Active,VLIZ,POD-2422,1335
RTSYS,RESEA320,EA-SDA14_2003002,Available,VLIZ,RESEA320-EA-SDA14_2003002,4030
CHELONIA,POD,2976,Available,VLIZ,POD-2976,1348
CHELONIA,POD,3425,Available,ODNATUUR,POD-3425,2829
CHELONIA,POD,7043,Available,VLIZ,POD-7043,22822
CHELONIA,POD,2953,Available,ODNATUUR,POD-2953,1664
CHELONIA,POD,3152,Available,ODNATUUR,POD-3152,2394
CHELONIA,POD,3219,Available,VLIZ,POD-3219,1797
CHELONIA,POD,2729,Available,VLIZ,POD-2729,1342
CHELONIA,POD,3154,Available,ODNATUUR,POD-3154,2203
CHELONIA,POD,2750,Available,VLIZ,POD-2750,1339
CHELONIA,POD,2958,Active,ODNATUUR,POD-2958,1667
CHELONIA,POD,3112,Active,VLIZ,POD-3112,1677
CHELONIA,POD,7103,Active,VLIZ,POD-7103,7980
OCEANINSTRUMENTS,"SOUNDTRAP STHF4300",6293,Available,LEIDEN_UNIVERSITY,"SOUNDTRAP STHF4300-6293",6402
CHELONIA,POD,2052,Active,ODNATUUR,POD-2052,1657
CHELONIA,POD,2423,Lost,VLIZ,POD-2423,1337
OCEANINSTRUMENTS,"SOUNDTRAP ST300",5118,Active,LEIDEN_UNIVERSITY,"SOUNDTRAP ST300-5118",4511
CHELONIA,POD,2956,Active,ODNATUUR,POD-2956,1651
CHELONIA,POD,3401,Available,VLIZ,POD-3401,2366
OCEANINSTRUMENTS,"SOUNDTRAP ST600HF",7534,Active,VLIZ,"SOUNDTRAP ST600HF-7534",23111
CHELONIA,POD,2728,Available,VLIZ,POD-2728,1346
RTSYS,RESEA320,EA-SDA14_2003004,Available,VLIZ,RESEA320-EA-SDA14_2003004,4029
CHELONIA,POD,7106,Active,VLIZ,POD-7106,7983
CHELONIA,POD,3421,Available,ODNATUUR,POD-3421,2825
CHELONIA,POD,2730,Available,VLIZ,POD-2730,1343
CHELONIA,POD,2056,Available,ODNATUUR,POD-2056,1661
RTSYS,RESEA320,EA-SDA14_2003001,Available,VLIZ,RESEA320-EA-SDA14_2003001,4031
CHELONIA,POD,408,Active,ODNATUUR,POD-408,1654
CHELONIA,POD,2578,Available,VLIZ,POD-2578,1347
OCEANINSTRUMENTS,"SOUNDTRAP ST600HF",7573,Active,VLIZ,"SOUNDTRAP ST600HF-7573",23112
CHELONIA,POD,3424,Active,ODNATUUR,POD-3424,2827
CHELONIA,POD,7045,Available,VLIZ,POD-7045,22823
CHELONIA,POD,3111,Available,VLIZ,POD-3111,1668
OCEANINSTRUMENTS,"SOUNDTRAP ST300",5107,Available,LEIDEN_UNIVERSITY,"SOUNDTRAP ST300-5107",4510
CHELONIA,POD,2977,Available,VLIZ,POD-2977,1349
CHELONIA,POD,3426,Available,ODNATUUR,POD-3426,2830
CHELONIA,POD,7104,Available,VLIZ,POD-7104,7981
